732.97	27.973
737	31
601.99	28.99
1149	89
1327.1	104
346.01	41.996
620	65
1092	100.98
1217.7	115
836	94
1218	127.02
925	114
1035	140
1120	163
1016.1	161
84	118
796.19	164.9
1278	194
1016	190
109	165.73
1070	221
1298	242
818.99	248.01
1040	278
523.01	260
162	256.01
386	266.34
327	298
1287	340
939	331
444	332
240	341
819	370
1326	383
788.15	386.65
637.07	386.7
891.78	421.48
1264	439.99
1275	441.12
1173	442.99
1289.9	444.09
716.35	436
221.99	444.02
277	473
362	488.06
367	496
378	501
378	504.73
767	517
1181.6	521.09
1250	526
1070	536
1349	567.98
1303	576.13
806	602
727	607
1208	606
443.88	625.28
593	625
750.58	623.88
865.01	623.94
939.96	624
1370	618
444	649
1272	640
1055.8	647
861	651.07
155.48	743.48
1087	745
854.75	764
1240	761
803	794
1094.3	808
1376.6	808.7
980.54	839.37
716	854
1404	818.75
1087	851
671	908
1222.2	277.26
148.73	604.34
749.78	646.08
703.5	775.5
1376.2	831.06
