694.95	44
699	46
567	54
1141	74
1337.3	77.281
370	79.995
620	84
1081	89.974
1215	97
796.95	102.05
1215	109.02
907.01	114
1020	134
1110	152
1000.2	155.23
150	163.02
754.94	173.25
1281	176
1000.1	186
170	205
1056	215
1304	226
776	254
1024.5	273.43
513	275.03
212.04	284
401.99	286.01
351	316.99
1291	329
909	331
439	346
277.01	359
783	373
1333.9	374
753.08	390.03
610.78	392.76
863.32	422.22
1264	434.99
1276	436.02
1164	439.98
1293	439
683	440.01
262	453.07
307.91	479
368.87	492.13
373	499
384	504
383.76	508
727.98	518
1173.4	520.64
1248	526
1037	536
1358.9	570.1
1308	579
762	601
683	605
1201	609
425	619.4
557.98	621
705.55	622.13
816.05	623
889.95	624
1382	624
425.62	641.44
1272	646
1009	649
811.02	650.02
204	723
1039	749
713.75	757
1236	771.99
664.5	784
1045	814
1384.3	828.35
853.92	837.31
584.75	839
1414	839.75
1033.2	857
537	889
1219.1	266.91
199.94	598.27
704.61	643
571.5	763.5
1382.5	851.33
