164	387
160	397
217	545
218	429
231	308
150	950
28	958
85	867
21	971
154	279
153	848
195	548
10	971
151	904
112	929
128	949
127	310
191	235
214	395
181	143
156	782
105	316
200	314
178	164
152	883
190	174
185	308
153	817
143	877
197	323
137	147
100	325
225	247
149	313
199	912
201	305
134	347
229	285
167	306
219	554
134	818
133	940
147	333
215	167
189	334
89	466
174	181
34	676
246	1005
278	758
110	944
169	168
60	731
52	709
114	319
172	145
142	322
123	301
67	608
134	220
130	759
50	469
229	256
47	614
231	397
84	717
153	826
59	152
206	356
48	870
81	475
144	819
106	740
89	161
156	334
41	703
271	714
62	700
204	370
49	645
10	346
253	680
81	637
65	477
149	304
255	697
227	645
355	845
97	744
22	355
66	362
283	728
19	430
102	678
37	723
74	484
155	693
89	457
125	816
190	140
190	585
175	579
223	446
28	439
41	452
103	408
105	647
99	426
245	553
21	408
158	765
29	299
255	888
135	809
51	746
30	451
153	288
294	710
196	597
152	218
14	375
26	188
203	383
273	550
74	453
67	415
62	452
89	418
101	437
48	266
51	383
264	551
192	299
299	271
42	390
90	447
39	470
57	358
113	239
189	609
278	515
6	203
97	719
185	855
100	637
139	761
98	363
319	110
66	403
327	550
76	378
10	337
200	754
272	501
112	412
73	437
51	442
29	418
43	94
104	381
53	277
21	754
266	730
71	725
29	332
91	405
313	208
93	667
62	430
349	529
108	424
249	388
43	331
22	366
146	147
207	767
80	465
33	430
87	438
15	145
164	690
281	638
75	405
44	374
270	611
39	443
73	334
98	417
77	680
264	890
80	428
70	279
51	433
258	316
299	410
184	214
118	463
43	350
143	158
186	251
180	119
37	399
145	697
86	607
97	730
115	741
108	657
206	178
365	858
283	717
39	253
217	588
84	670
41	461
37	409
267	739
83	761
84	396
347	627
21	454
159	172
272	643
53	424
232	560
80	415
228	671
44	281
214	754
348	547
56	396
64	443
318	676
287	650
51	731
158	323
128	614
333	617
124	739
176	303
130	332
243	734
101	836
357	557
50	451
248	156
242	368
357	873
49	153
173	218
100	207
121	1033
27	252
286	273
291	641
42	433
75	367
30	290
251	628
228	692
224	514
226	658
158	47
86	736
362	912
187	598
44	26
31	362
247	457
106	749
97	606
278	737
